Anime,1st recomm,2nd recomm,3rd recomm
Needless,God Eater,Darker than Black: Kuro no Keiyakusha,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou"
Neon Genesis Evangelion,Shingeki no Kyojin,God Eater,Needless
Nisekoi,Tokyo Revengers,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"Komi-san wa, Comyushou desu."
No Game No Life,Rakudai Kishi no Cavalry,God Eater,Soul Eater
Noragami,Ushio to Tora (TV),Natsume Yuujinchou,Mairimashita! Iruma-kun
Odd Taxi,Banana Fish,Tokyo Ghoul,Devil May Cry
One Piece,Magic Kaito 1412,Chainsaw Man,Hanma Baki: Son of Ogre
One Punch Man,Makai Ouji: Devils and Realist,Paripi Koumei,Ashita no Joe
Orange,Suki tte Ii na yo.,Tokyo Revengers,Ao Haru Ride
Ousama Ranking,Kiznaiver,Cike Wu Liuqi,Mairimashita! Iruma-kun
Overlord,Jujutsu Kaisen,Kono Subarashii Sekai ni Shukufuku wo!,Fate/stay night
Owari no Seraph,Hellsing,Akame ga Kill!,Black Bullet
Paripi Koumei,Re-Main,Boku dake ga Inai Machi,Inuyashiki
Persona 4 the Animation,Summertime Render,Another,Bungou Stray Dogs
Phi Brain: Kami no Puzzle,Fate/stay night,Ranpo Kitan: Game of Laplace,Makai Ouji: Devils and Realist
Ping Pong the Animation,Kuroko no Basket,Ballroom e Youkoso,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
Pokemon XY,Kono Subarashii Sekai ni Shukufuku wo!,Brave 10,Shaman King
Prince of Stride: Alternative,Yowamushi Pedal,Busou Shoujo Machiavellianism,Another
Princess Principal,Detective Conan,JoJo no Kimyou na Bouken Part 6: Stone Ocean,Youjo Senki
Psycho-Pass,Lycoris Recoil,Princess Principal,Code Geass: Hangyaku no Lelouch
Qualidea Code,God Eater,Zankyou no Terror,Black Bullet
Rainbow: Nisha Rokubou no Shichinin,Donten ni Warau,Sakura-sou no Pet na Kanojo,Detective Conan
