Anime,1st recomm,2nd recomm,3rd recomm
Haikyuu!!,Prince of Stride: Alternative,Shakunetsu Kabaddi,Iwa Kakeru!: Sport Climbing Girls
Hajime no Ippo,Major 2nd,SK∞,Keppeki Danshi! Aoyama-kun
Hakata Tonkotsu Ramens,Phi Brain: Kami no Puzzle,Princess Principal,Gangsta.
Hamatora The Animation,Dragon Ball,Naruto,Bungou Stray Dogs
Hanebado!,Blue Lock,Buzzer Beater,Captain Tsubasa
Hanma Baki: Son of Ogre,Kengan Ashura,Hinomaru Zumou,Battle Spirits: Burning Soul
Harukana Receive,Uma Musume: Pretty Derby,Keijo!!!!!!!!,Beyblade Burst
Hataraku Maou-sama!,Shinigami Bocchan to Kuro Maid,InuYasha,Mairimashita! Iruma-kun
Hellsing,Deadman Wonderland,Koutetsujou no Kabaneri,Gantz
High School DxD,"Fuufu Ijou, Koibito Miman.",5-toubun no Hanayome,Itazura na Kiss
Highschool of the Dead,Deadman Wonderland,Koutetsujou no Kabaneri,Mieruko-chan
Higurashi no Naku Koro ni,Tokyo Ghoul,Yakusoku no Neverland,Monster
Hinamatsuri (TV),Musaigen no Phantom World,Kokoro Connect,Fruits Basket 1st Season
Hinomaru Zumou,Captain Tsubasa,Kengan Ashura,Baki
Horimiya,Ao Haru Ride,Nisekoi,Kanojo mo Kanojo
Hunter x Hunter (2011),One Piece,Katekyo Hitman Reborn!,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke
Id:Invaded,Death Note,Subete ga F ni Naru,ACCA: 13-ku Kansatsu-ka
"Ijiranaide, Nagatoro-san",Senpai ga Uzai Kouhai no Hanashi,Gokushufudou,Sakura-sou no Pet na Kanojo
Inazuma Eleven,Captain Tsubasa,Katekyo Hitman Reborn!,Keijo!!!!!!!!
InuYasha,Soul Eater,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Shinigami Bocchan to Kuro Maid
Inuyashiki,Steins;Gate,Subete ga F ni Naru,Black Bullet
Itazura na Kiss,"Kanojo, Okarishimasu","Fuufu Ijou, Koibito Miman.",Rikei ga Koi ni Ochita no de Shoumei shitemita.
Iwa Kakeru!: Sport Climbing Girls,Shakunetsu Kabaddi,Haikyuu!!,Slam Dunk
Jaku-Chara Tomozaki-kun,Shigatsu wa Kimi no Uso,Orange,Nisekoi
JoJo no Kimyou na Bouken (TV),Owari no Seraph,Blood Lad,Hellsing
JoJo no Kimyou na Bouken Part 6: Stone Ocean,Golden Kamuy,Jormungand,Goblin Slayer
Joker Game,Young Black Jack,91 Days,Vinland Saga
Jormungand,Golden Kamuy,JoJo no Kimyou na Bouken Part 6: Stone Ocean,Goblin Slayer
Jujutsu Kaisen,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Makai Ouji: Devils and Realist,Yuu☆Yuu☆Hakusho
K,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,Taboo Tattoo,11eyes
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Masamune-kun no Revenge,Kanojo mo Kanojo,Jaku-Chara Tomozaki-kun
Kakegurui,Beastars,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Another
Kami no Tou,Tate no Yuusha no Nariagari,Hai to Gensou no Grimgar,Golgo 13 (TV)
Kanojo mo Kanojo,Masamune-kun no Revenge,Tonari no Kaibutsu-kun,Horimiya
"Kanojo, Okarishimasu",Itazura na Kiss,"Fuufu Ijou, Koibito Miman.",Rikei ga Koi ni Ochita no de Shoumei shitemita.
