Anime,1st recomm,2nd recomm,3rd recomm
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Soul Eater,Shiguang Dailiren
Joker Game,Young Black Jack,91 Days,Vinland Saga
Jormungand,ChainsawMan,Magi: The Labyrinth of Magic,Goblin Slayer
Jujutsu Kaisen,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Makai Ouji: Devils and Realist,Yuu Yuu Hakusho
K,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,Taboo Tattoo,11eyes
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Masamune-kun no Revenge,Kanojo mo Kanojo,Suki tte Ii na yo.
Kakegurui,Beastars,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Another
Kami no Tou,Akame ga Kill!,Hai to Gensou no Grimgar,Fullmetal Alchemist: Brotherhood
Kanojo mo Kanojo,Nisekoi,Horimiya,Tonari no Kaibutsu-kun
"Kanojo, Okarishimasu","Fuufu Ijou, Koibito Miman.",5-toubun no Hanayome,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken
Katanagatari,Seirei Gensouki,Vinland Saga,Sword Art Online
Katekyo Hitman Reborn!,One Piece,Dragon Ball,Hamatora The Animation
Keijo!!!!!!!!,Hinomaru Zumou,Giant Killing,Battle Spirits: Burning Soul
Kekkai Sensen,One Punch Man,Claymore,Servamp
Kemono Jihen,Kuroshitsuji,Ushio to Tora (TV),Yuu Yuu Hakusho
Kenpuu Denki Berserk,Elfen Lied,Tokyo Ghoul,Ajin
Keppeki Danshi! Aoyama-kun,Eyeshield 21,Aoharu x Kikanjuu,Yowamushi Pedal
Kill la Kill,Charlotte,Busou Shoujo Machiavellianism,Ansatsu Kyoushitsu
Kimetsu no Yaiba,Kuroshitsuji,Donten ni Warau,Ushio to Tora (TV)
Kingdom,91 Days,Young Black Jack,Princess Principal
Kiseijuu: Sei no Kakuritsu,Highschool of the Dead,Gantz,Yakusoku no Neverland
Kiznaiver,Trigun,Divine Gate,Saint Seiya
Kobayashi-san Chi no Maid Dragon,"Komi-san wa, Comyushou desu.",Aggressive Retsuko (ONA),Aggressive Retsuko (ONA)
Kokkoku,Tokyo Ghoul,Mirai Nikki (TV),Zetsuen no Tempest
Kokoro Connect,Clannad,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Shinigami Bocchan to Kuro Maid
"Komi-san wa, Comyushou desu.",Aggressive Retsuko (ONA),Kobayashi-san Chi no Maid Dragon,Ranma 1/2
Kono Subarashii Sekai ni Shukufuku wo!,Toriko,Digimon Adventure,Fairy Tail
Koutetsujou no Kabaneri,Tokyo Ghoul,Elfen Lied,Ajin
Kumichou Musume to Sewagakari,3-gatsu no Lion,Sono Bisque Doll wa Koi wo Suru,Aggressive Retsuko (ONA)
Kuroko no Basket,Shakunetsu Kabaddi,Slam Dunk,Haikyuu!!
Kuroshitsuji,Ushio to Tora (TV),Makai Ouji: Devils and Realist,Yuu Yuu Hakusho
Kyoukai no Kanata,Mushishi,Musaigen no Phantom World,Violet Evergarden
Log Horizon,Rokka no Yuusha,Overlord,Fairy Tail
Lycoris Recoil,Tomodachi Game,Jormungand,Golden Kamuy
Made in Abyss,Black Bullet,Divine Gate,Trigun
Magi: The Labyrinth of Magic,BlazBlue: Alter Memory,Tensei shitara Ken Deshita,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru"
Magic Kaito 1412,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,"Fuufu Ijou, Koibito Miman.",Gekkan Shoujo Nozaki-kun
Mahou Sensou,Rokka no Yuusha,Black Clover,Fairy Tail
Mahouka Koukou no Rettousei,The God of High School,Angel Beats!,Cardcaptor Sakura
Mairimashita! Iruma-kun,Soul Eater,Saiki Kusuo no nan,Hataraku Maou-sama!
Major 2nd,Hajime no Ippo,Keppeki Danshi! Aoyama-kun,SK8
Makai Ouji: Devils and Realist,Saiyuuki Reload Blast,Yuu Yuu Hakusho,Ushio to Tora (TV)
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Makai Ouji: Devils and Realist,Mahouka Koukou no Rettousei,Cardcaptor Sakura
Masamune-kun no Revenge,Nisekoi,Horimiya,Tonari no Kaibutsu-kun
Mayoiga,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Yakusoku no Neverland,Re:Zero kara Hajimeru Isekai Seikatsu
Megalo Box,Ashita no Joe,Eyeshield 21,Aoharu x Kikanjuu
Mieruko-chan,Koutetsujou no Kabaneri,Kenpuu Denki Berserk,Deadman Wonderland
Mirai Nikki (TV),Kokkoku,Tokyo Ghoul,Elfen Lied
Mob Psycho 100,Hinamatsuri (TV),Kokoro Connect,Fruits Basket 1st Season
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Noragami,Mairimashita! Iruma-kun,Baccano!
Monster,Death Note,Yakusoku no Neverland,Mousou Dairinin
Mousou Dairinin,Monster,Death Note,Kokkoku
Munou na Nana,C: The Money of Soul and Possibility Control,Bungou Stray Dogs,K
Musaigen no Phantom World,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Soul Eater,Kokoro Connect
Mushishi,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Musaigen no Phantom World,No Game No Life
Mushoku Tensei: Isekai Ittara Honki Dasu,Violet Evergarden,Tate no Yuusha no Nariagari,Akame ga Kill!
Naruto,Katekyo Hitman Reborn!,One Piece,Needless
Natsume Yuujinchou,Yuu Yuu Hakusho,Blood Lad,Ushio to Tora (TV)
Needless,One Punch Man,Naruto,Dragon Ball
Neon Genesis Evangelion,Inuyashiki,Id:Invaded,Subete ga F ni Naru
Nisekoi,Masamune-kun no Revenge,Horimiya,Tonari no Kaibutsu-kun
No Game No Life,The God of High School,Overlord,Musaigen no Phantom World
Noragami,Soul Eater,Baccano!,InuYasha
Odd Taxi,Gyakkyou Burai Kaiji: Ultimate Survivor,Alice to Zouroku,Hakata Tonkotsu Ramens
One Piece,Naruto,Hamatora The Animation,Bleach
One Punch Man,Shaman King,Bungou Stray Dogs,Needless
Orange,Jaku-Chara Tomozaki-kun,Rakudai Kishi no Cavalry,Ao Haru Ride
Ousama Ranking,Magi: The Labyrinth of Magic,Goblin Slayer,BlazBlue: Alter Memory
Overlord,Log Horizon,Rokka no Yuusha,Qualidea Code
Owari no Seraph,Blood Lad,Hellsing,Blade
Paripi Koumei,Lycoris Recoil,Bus Gamer,Baki
Persona 4 the Animation,One Punch Man,Darker than Black: Kuro no Keiyakusha,Darwin's Game
Phi Brain: Kami no Puzzle,Battle Spirits: Burning Soul,Yu-Gi-Oh! Duel Monsters,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru"
Ping Pong the Animation,Hajime no Ippo,Major 2nd,Yowamushi Pedal
Pokemon (2019),Toriko,Kono Subarashii Sekai ni Shukufuku wo!,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Prince of Stride: Alternative,Haikyuu!!,Kuroko no Basket,Iwa Kakeru!: Sport Climbing Girls
Princess Principal,Vinland Saga,Young Black Jack,Hakata Tonkotsu Ramens
