Anime,1st recomm,2nd recomm,3rd recomm
Gintama: The Semi-Final,Tate no Yuusha no Nariagari Season 2,Fate/stay night: Unlimited Blade Works 2nd Season,Fate/Zero 2nd Season
Gintama°,Buzzer Beater,Gintama,Kono Subarashii Sekai ni Shukufuku wo!
Gleipnir,Kono Subarashii Sekai ni Shukufuku wo!,Aoharu x Kikanjuu,11eyes
Goblin Slayer,Claymore,Blood Lad,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu
God Eater,Shingeki no Kyojin,Kiseijuu: Sei no Kakuritsu,Hataraku Maou-sama!
Gokushufudou,Rurouni Kenshin: Meiji Kenkaku Romantan,Chainsaw Man,Makai Ouji: Devils and Realist
Gokushufudou Part 2,Darker than Black: Ryuusei no Gemini,Kimetsu no Yaiba: Yuukaku-hen,Kaguya-sama wa Kokurasetai: Ultra Romantic
Golden Kamuy,Magic Kaito 1412,Seirei Gensouki,Boku dake ga Inai Machi
Golden Kamuy 2nd Season,Magic Kaito 1412,Naruto: Shippuuden Movie 5 - Blood Prison,K
Golden Kamuy 3rd Season,Gintama.: Porori-hen,Evangelion: 3.0 You Can (Not) Redo,Kuroshitsuji
Golgo 13 (TV),Rakudai Kishi no Cavalry,Hinomaruzumou,Hai to Gensou no Grimgar
Great Teacher Onizuka,Tokyo Revengers,Prison School,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e
Gyakkyou Burai Kaiji: Hakairoku-hen,Aggressive Retsuko (ONA) 3rd Season,Makai Ouji: Devils and Realist,Bus Gamer
Gyakkyou Burai Kaiji: Ultimate Survivor,Kokkoku,Zombieland Saga Revenge,Chainsaw Man
Hai to Gensou no Grimgar,Shingeki no Kyojin Season 3,D.Gray-man,Fate/Zero 2nd Season
Haikyuu!!,Wotaku ni Koi wa Muzukashii OVA,Harukana Receive,Hanebado!
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e,Ao Ashi,Great Teacher Onizuka
Haikyuu!! Second Season,Keijo!!!!!!!!,Inazuma Eleven Go: Galaxy,Harukana Receive
Haikyuu!! To the Top Part 2,Ao Ashi,Hanebado!,Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e
Hajime no Ippo,Shijou Saikyou no Deshi Kenichi,Wotaku ni Koi wa Muzukashii OVA,Ashita no Joe
Hajime no Ippo: New Challenger,Baki,Nomad: Megalo Box 2,The God of High School
Hajime no Ippo: Rising,Nomad: Megalo Box 2,Baki,Ashita no Joe
Hakata Tonkotsu Ramens,Spy x Family,Cike Wu Liuqi,Gangsta.
Hamatora The Animation,No Game No Life,Hanamonogatari,Natsume Yuujinchou Go
Hanamonogatari,Digimon Adventure 02,Kono Subarashii Sekai ni Shukufuku wo!,Sen to Chihiro no Kamikakushi
Hanebado!,Ryman's Club,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Kobayashi-san Chi no Maid Dragon S
Hanma Baki: Son of Ogre,Baki,Drifters,Evangelion: 1.0 You Are (Not) Alone
Harukana Receive,Wotaku ni Koi wa Muzukashii OVA,Keijo!!!!!!!!,Haikyuu!!
Hataraku Maou-sama!,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,God Eater,Hataraku Maou-sama!!
Hataraku Maou-sama!!,Gintama°,Hataraku Maou-sama!,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
Hellsing,Owari no Seraph,Kizumonogatari III: Reiketsu-hen,God Eater
High School DxD,Kono Subarashii Sekai ni Shukufuku wo!,Tokyo Ghoul,Katekyo Hitman Reborn!
High School DxD BorN,Kokoro Connect: Michi Random,Busou Shoujo Machiavellianism,Aggressive Retsuko (ONA) 2nd Season
High School DxD BorN: Yomigaeranai Fushichou,Wizard Barristers: Benmashi Cecil,Star Wars: Visions,Made in Abyss Movie 1: Tabidachi no Yoake
High School DxD New,Ao no Exorcist: Kyoto Fujouou-hen,Mob Psycho 100 III,Kill la Kill
High School DxD OVA,Hanamonogatari,Nekomonogatari: Kuro,Kokoro Connect: Michi Random
High School DxD Specials,Kekkai Sensen & Beyond,Tate no Yuusha no Nariagari Season 2,Made in Abyss Movie 2: Hourou Suru Tasogare
Highschool of the Dead,Zankyou no Terror,Fate/stay night,Kimetsu no Yaiba: Yuukaku-hen
Higurashi no Naku Koro ni,3-gatsu no Lion 2nd Season,Persona 4 the Animation,"Komi-san wa, Comyushou desu. 2nd Season"
