Anime,1st recomm,2nd recomm,3rd recomm
Gangsta.,Kengan Ashura,K,Kenpuu Denki Berserk
Gantz,Neon Genesis Evangelion,11eyes,D.Gray-man
Ga-Rei: Zero,Psycho-Pass,Highschool of the Dead,Kemono Jihen
Gekkan Shoujo Nozaki-kun,Deatte 5-byou de Battle,Masamune-kun no Revenge,Kimi no Na wa.
Giant Killing,Slam Dunk,Hanebado!,Needless
Gintama,Code Geass: Hangyaku no Lelouch,Shouwa Genroku Rakugo Shinjuu,DRAMAtical Murder
Gleipnir,Highschool of the Dead,Slam Dunk,Elfen Lied
Goblin Slayer,Kumichou Musume to Sewagakari,Blood Lad,Hellsing
God Eater,Vivy: Fluorite Eye's Song,Koutetsujou no Kabaneri,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou"
Golden Kamuy,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Rurouni Kenshin: Meiji Kenkaku Romantan,Great Teacher Onizuka
Golgo 13 (TV),Darker than Black: Kuro no Keiyakusha,No Game No Life,Yasuke
Great Teacher Onizuka,"Kanojo, Okarishimasu",Jaku-Chara Tomozaki-kun,Golden Kamuy
Gyakkyou Burai Kaiji: Ultimate Survivor,C: The Money of Soul and Possibility Control,Jormungand,Ousama Ranking
Hai to Gensou no Grimgar,Jormungand,One Punch Man,Cike Wu Liuqi
Haikyuu!!,Keijo!!!!!!!!,Kuroko no Basket,Inazuma Eleven
Hajime no Ippo,Kokkoku,Banana Fish,Hotarubi no Mori e
Hakata Tonkotsu Ramens,Id:Invaded,Seikaisuru Kado,Akudama Drive
Hamatora The Animation,Mushishi,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,No Game No Life
Hanebado!,Giant Killing,Brave 10,Kono Subarashii Sekai ni Shukufuku wo!
Harukana Receive,Keijo!!!!!!!!,Hajime no Ippo,Deatte 5-byou de Battle
Hataraku Maou-sama!,Naruto,Koutetsujou no Kabaneri,Shingeki no Kyojin
Hellsing,Blood Lad,Claymore,Fate/stay night
