Anime,1st recomm,2nd recomm,3rd recomm
Hanebado!,Blue Lock,Ao Ashi,Captain Tsubasa
Harukana Receive,Uma Musume: Pretty Derby,Keijo!!!!!!!!,Beyblade Burst
Hataraku Maou-sama!,Shinigami Bocchan to Kuro Maid,InuYasha,Mairimashita! Iruma-kun
Hellsing,Koutetsujou no Kabaneri,Highschool of the Dead,Deadman Wonderland
High School DxD,Gekkan Shoujo Nozaki-kun,5-toubun no Hanayome,Itazura na Kiss
Highschool of the Dead,Deadman Wonderland,Koutetsujou no Kabaneri,Kakurenbo
Higurashi no Naku Koro ni,Tokyo Ghoul,Yakusoku no Neverland,Monster
Hinamatsuri (TV),Musaigen no Phantom World,The God of High School,Kokoro Connect
Hinomaru Zumou,Kengan Ashura,Baki,Keijo!!!!!!!!
Horimiya,Ao Haru Ride,Kanojo mo Kanojo,Nisekoi
Hunter x Hunter (2011),One Piece,Katekyo Hitman Reborn!,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke
Id:Invaded,Subete ga F ni Naru,Death Note,Steins;Gate
"Ijiranaide, Nagatoro-san",Toradora!,Gokushufudou,Sakura-sou no Pet na Kanojo
Inazuma Eleven,Captain Tsubasa,Katekyo Hitman Reborn!,Keijo!!!!!!!!
InuYasha,Soul Eater,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Shinigami Bocchan to Kuro Maid
Inuyashiki,Steins;Gate,Subete ga F ni Naru,Black Bullet
Itazura na Kiss,"Kanojo, Okarishimasu",Gekkan Shoujo Nozaki-kun,"Fuufu Ijou, Koibito Miman."
Iwa Kakeru!: Sport Climbing Girls,Kuroko no Basket,Haikyuu!!,Slam Dunk
Jaku-Chara Tomozaki-kun,Shigatsu wa Kimi no Uso,Nisekoi,Kanojo mo Kanojo
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Soul Eater,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Shiguang Dailiren
Joker Game,Young Black Jack,91 Days,Vinland Saga
Jormungand,Golden Kamuy,Magi: The Labyrinth of Magic,Goblin Slayer
Jujutsu Kaisen,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Makai Ouji: Devils and Realist,Yuuâ˜†Yuuâ˜†Hakusho
K,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,Taboo Tattoo,11eyes
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kanojo mo Kanojo,Nisekoi,Jaku-Chara Tomozaki-kun
Kakegurui,Beastars,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Another
Kami no Tou,Tate no Yuusha no Nariagari,Fullmetal Alchemist: Brotherhood,Akame ga Kill!
Kanojo mo Kanojo,Nisekoi,Horimiya,Tonari no Kaibutsu-kun
"Kanojo, Okarishimasu",Itazura na Kiss,Gekkan Shoujo Nozaki-kun,"Fuufu Ijou, Koibito Miman."
Katanagatari,Seirei Gensouki,Vinland Saga,Sword Art Online
Katekyo Hitman Reborn!,One Piece,Dragon Ball,Hamatora The Animation
Keijo!!!!!!!!,Hinomaru Zumou,Giant Killing,Battle Spirits: Burning Soul
Kekkai Sensen,One Punch Man,Claymore,Servamp
Kemono Jihen,Kuroshitsuji,Ushio to Tora (TV),Yuuâ˜†Yuuâ˜†Hakusho
Kenpuu Denki Berserk,Elfen Lied,Tokyo Ghoul,Ajin
Keppeki Danshi! Aoyama-kun,Aoharu x Kikanjuu,Eyeshield 21,Yowamushi Pedal
Kill la Kill,Charlotte,Ansatsu Kyoushitsu,Busou Shoujo Machiavellianism
Kimetsu no Yaiba,Kuroshitsuji,Donten ni Warau,Ushio to Tora (TV)
Kingdom,91 Days,Young Black Jack,Princess Principal
Kiseijuu: Sei no Kakuritsu,Highschool of the Dead,Gantz,Yakusoku no Neverland
Kiznaiver,Trigun,Divine Gate,Saint Seiya
Kobayashi-san Chi no Maid Dragon,Aggressive Retsuko (ONA),"Komi-san wa, Comyushou desu.",Aggressive Retsuko (ONA)
Kokkoku,Tokyo Ghoul,Mirai Nikki (TV),Zetsuen no Tempest
Kokoro Connect,Fruits Basket 1st Season,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Shinigami Bocchan to Kuro Maid
"Komi-san wa, Comyushou desu.",Aggressive Retsuko (ONA),Kobayashi-san Chi no Maid Dragon,Ranma Â½
Kono Subarashii Sekai ni Shukufuku wo!,Pokemon (2019),Digimon Adventure,Fairy Tail
Koutetsujou no Kabaneri,Tokyo Ghoul,Elfen Lied,Ajin
Kumichou Musume to Sewagakari,Blue Period,3-gatsu no Lion,Sono Bisque Doll wa Koi wo Suru
Kuroko no Basket,Shakunetsu Kabaddi,Haikyuu!!,Slam Dunk
Kuroshitsuji,Ushio to Tora (TV),Makai Ouji: Devils and Realist,Yuuâ˜†Yuuâ˜†Hakusho
Kyoukai no Kanata,Mushishi,Aria the Origination,Musaigen no Phantom World
Log Horizon,Mahou Sensou,Rokka no Yuusha,Overlord
Lycoris Recoil,Tomodachi Game,Golden Kamuy,Jormungand
Made in Abyss,Black Bullet,Divine Gate,Trigun
Magi: The Kingdom of Magic,Log Horizon,Rokka no Yuusha,Fairy Tail
Magi: The Labyrinth of Magic,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Ao no Exorcist: Kyoto Fujouou-hen,BlazBlue: Alter Memory
Magic Kaito 1412,Itazura na Kiss,Gekkan Shoujo Nozaki-kun,"Fuufu Ijou, Koibito Miman."
Mahou Sensou,Log Horizon,Rokka no Yuusha,Black Clover
Mahouka Koukou no Rettousei,The God of High School,Angel Beats!,Cardcaptor Sakura
Mairimashita! Iruma-kun,Soul Eater,Saiki Kusuo no Î¨-nan,Hataraku Maou-sama!
Major 2nd,Hajime no Ippo,Keppeki Danshi! Aoyama-kun,SKâˆž
Makai Ouji: Devils and Realist,Saiyuuki Reload Blast,Yuuâ˜†Yuuâ˜†Hakusho,Ushio to Tora (TV)
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Makai Ouji: Devils and Realist,Mahouka Koukou no Rettousei,Cardcaptor Sakura
Masamune-kun no Revenge,Nisekoi,Horimiya,Tonari no Kaibutsu-kun
Mayoiga,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Yakusoku no Neverland,Re:Zero kara Hajimeru Isekai Seikatsu
Megalo Box,Ashita no Joe,Eyeshield 21,Aoharu x Kikanjuu
Mieruko-chan,Koutetsujou no Kabaneri,Kenpuu Denki Berserk,Deadman Wonderland
Mirai Nikki (TV),Kokkoku,Tokyo Ghoul,Elfen Lied
Mob Psycho 100,Hinamatsuri (TV),Fruits Basket 1st Season,Clannad
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Noragami,Mairimashita! Iruma-kun,Baccano!
Monster,Death Note,Yakusoku no Neverland,Mousou Dairinin
Mousou Dairinin,Monster,Death Note,Kokkoku
Munou na Nana,C: The Money of Soul and Possibility Control,Bungou Stray Dogs,K
Musaigen no Phantom World,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Soul Eater,Clannad
Mushishi,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Musaigen no Phantom World,No Game No Life
Mushoku Tensei: Isekai Ittara Honki Dasu,Violet Evergarden,Fullmetal Alchemist: Brotherhood,Tate no Yuusha no Nariagari
Naruto,Katekyo Hitman Reborn!,One Piece,Needless
Natsume Yuujinchou,Yuuâ˜†Yuuâ˜†Hakusho,Blood Lad,Ushio to Tora (TV)
Needless,One Punch Man,Naruto,Dragon Ball
Neon Genesis Evangelion,Inuyashiki,Id:Invaded,Subete ga F ni Naru
Nisekoi,Kanojo mo Kanojo,Tonari no Kaibutsu-kun,Horimiya
No Game No Life,The God of High School,Overlord,Musaigen no Phantom World
Noragami,Soul Eater,Baccano!,InuYasha
Odd Taxi,Gyakkyou Burai Kaiji: Ultimate Survivor,Alice to Zouroku,Hakata Tonkotsu Ramens
One Piece,Naruto,Hamatora The Animation,Bleach
One Punch Man,Shaman King,Bungou Stray Dogs,Needless
Orange,Jaku-Chara Tomozaki-kun,Rakudai Kishi no Cavalry,Ao Haru Ride
Ousama Ranking,Magi: The Labyrinth of Magic,Goblin Slayer,BlazBlue: Alter Memory
Overlord,Log Horizon,Rokka no Yuusha,Qualidea Code
Owari no Seraph,Blood Lad,Hellsing,Blade
Paripi Koumei,Bus Gamer,Lycoris Recoil,Kengan Ashura
Persona 4 the Animation,One Punch Man,Darker than Black: Kuro no Keiyakusha,Darwin's Game
Phi Brain: Kami no Puzzle,Battle Spirits: Burning Soul,Yuâ˜†Giâ˜†Oh! Duel Monsters,BlazBlue: Alter Memory
Ping Pong the Animation,Hajime no Ippo,Yowamushi Pedal,Major 2nd
Pokemon (2019),Toriko,Kono Subarashii Sekai ni Shukufuku wo!,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Prince of Stride: Alternative,Slam Dunk,Iwa Kakeru!: Sport Climbing Girls,Shakunetsu Kabaddi
Princess Principal,Vinland Saga,Young Black Jack,Hakata Tonkotsu Ramens
Psycho-Pass,Id:Invaded,Steins;Gate,Mirai Nikki (TV)
Qualidea Code,Mahou Sensou,Mairimashita! Iruma-kun,Magi: The Kingdom of Magic
Rainbow: Nisha Rokubou no Shichinin,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,91 Days,Vinland Saga
Rakudai Kishi no Cavalry,Jaku-Chara Tomozaki-kun,Orange,Kanojo mo Kanojo
Ranma Â½,Aggressive Retsuko (ONA),Aggressive Retsuko (ONA),"Komi-san wa, Comyushou desu."
Ranpo Kitan: Game of Laplace,Gyakkyou Burai Kaiji: Ultimate Survivor,Alice to Zouroku,Hakata Tonkotsu Ramens
Re:Zero kara Hajimeru Isekai Seikatsu,Steins;Gate,Death Parade,Yuukoku no Moriarty
Re-Main,All Out!!,Prince of Stride: Alternative,Iwa Kakeru!: Sport Climbing Girls
Rikei ga Koi ni Ochita no de Shoumei shitemita.,5-toubun no Hanayome,Gekkan Shoujo Nozaki-kun,"Fuufu Ijou, Koibito Miman."
Rokka no Yuusha,Log Horizon,Mahou Sensou,Overlord
Romeo x Juliet,Seirei Gensouki,Vinland Saga,Nana
Rurouni Kenshin: Meiji Kenkaku Romantan,Gintama,Yasuke,Katanagatari
Ryman's Club,Giant Killing,Keijo!!!!!!!!,Captain Tsubasa
Saihate no Paladin,Goblin Slayer,Magi: The Labyrinth of Magic,BlazBlue: Alter Memory
Saiki Kusuo no Î¨-nan,Noragami,Baccano!,Soul Eater
Saint Seiya,Divine Gate,Made in Abyss,Dr. Stone
Saiyuuki Reload Blast,Kuroshitsuji,Yuuâ˜†Yuuâ˜†Hakusho,Blood Lad
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Re:Zero kara Hajimeru Isekai Seikatsu,Death Parade,Golgo 13 (TV)
Sakura-sou no Pet na Kanojo,Senpai ga Uzai Kouhai no Hanashi,Gokushufudou,Toradora!
Seikaisuru Kado,Bubble,Akudama Drive,Dimension W
Seirei Gensouki,Howl no Ugoku Shiro,Sword Art Online,Cike Wu Liuqi
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Hataraku Maou-sama!,InuYasha,Clannad
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Tensei shitara Ken Deshita,BlazBlue: Alter Memory,Magi: The Labyrinth of Magic
Senpai ga Uzai Kouhai no Hanashi,Gokushufudou,Toradora!,Sakura-sou no Pet na Kanojo
Servamp,Saiyuuki Reload Blast,Owari no Seraph,Kekkai Sensen
Shakunetsu Kabaddi,Iwa Kakeru!: Sport Climbing Girls,Slam Dunk,Haikyuu!!
Shaman King,Bungou Stray Dogs,Yozakura Quartet: Hana no Uta,Shuumatsu no WalkÃ¼re
Shigatsu wa Kimi no Uso,Suki tte Ii na yo.,Ao Haru Ride,Masamune-kun no Revenge
Shijou Saikyou no Deshi Kenichi,Busou Shoujo Machiavellianism,Haikyuu!!,Slam Dunk
Shingeki no Kyojin,Taboo Tattoo,Darwin's Game,Darker than Black: Kuro no Keiyakusha
Shinigami Bocchan to Kuro Maid,Hataraku Maou-sama!,InuYasha,Clannad
Shokugeki no Souma,Baki,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Re-Main
Shouwa Genroku Rakugo Shinjuu,Gangsta.,Gyakkyou Burai Kaiji: Ultimate Survivor,Banana Fish
SKâˆž,Eyeshield 21,Aoharu x Kikanjuu,Hajime no Ippo
Slam Dunk,Prince of Stride: Alternative,Iwa Kakeru!: Sport Climbing Girls,Shakunetsu Kabaddi
Sono Bisque Doll wa Koi wo Suru,Gokushufudou,Senpai ga Uzai Kouhai no Hanashi,Toradora!
Soul Eater,Noragami,Mairimashita! Iruma-kun,Baccano!
Spy x Family,Pokemon (2019),Digimon Adventure,Toriko
Steins;Gate,Re:Zero kara Hajimeru Isekai Seikatsu,Psycho-Pass,Inuyashiki
Subete ga F ni Naru,Yakusoku no Neverland,Inuyashiki,Steins;Gate
Suki tte Ii na yo.,Shigatsu wa Kimi no Uso,Masamune-kun no Revenge,Kanojo mo Kanojo
Summertime Render,Boku dake ga Inai Machi,Shiguang Dailiren,Bakemonogatari
Sword Art Online,Yuâ˜†Giâ˜†Oh! Duel Monsters,Magi: The Labyrinth of Magic,Goblin Slayer
Taboo Tattoo,Deatte 5-byou de Battle,11eyes,Shuumatsu no WalkÃ¼re
Tate no Yuusha no Nariagari,Fullmetal Alchemist: Brotherhood,Akame ga Kill!,Kami no Tou
Tengen Toppa Gurren Lagann,Dr. Stone,Uchuu Kyoudai,The God of High School
